question_id,granularity,hit_count,top_score,first_gold_alias_rank,first_evidence_page_rank,gold_alias_hit_count,evidence_page_hit_count,matched_gold_ids_top_m,matched_evidence_refs_top_m
always_clear_depth_contributions,chunk,300,0.7225103378295898,238,,2,0,acdepth_framework,
always_clear_depth_eval_datasets,chunk,300,0.7677690386772156,,,0,0,,
always_clear_depth_ablation_components,chunk,300,0.784515380859375,20,,1,0,distillation_learning,
always_clear_depth_sota_comparison_methods,chunk,300,0.7887682914733887,23,,23,0,"adids,md4all_dd,monodepth2,rnw,wsgd",
always_clear_depth_contributions,sentence,300,0.7555978298187256,293,,1,0,"acdepth_framework,multi_tuple_degradation_dataset_generation",
always_clear_depth_eval_datasets,sentence,300,0.7833865880966187,172,,3,0,nuscenes,
always_clear_depth_ablation_components,sentence,300,0.784515380859375,94,,1,0,distillation_learning,
always_clear_depth_sota_comparison_methods,sentence,300,0.7654345035552979,66,,13,0,"dmmde,md4all_dd,monodepth2,rnw",
always_clear_depth_contributions,proposition,300,0.7555978298187256,,7,0,46,,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_eval_datasets,proposition,300,0.7789459228515625,277,1,1,26,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_ablation_components,proposition,300,0.7818707823753357,,11,0,22,,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:distillation_learning|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:feature_consistency_constraint|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:ordinal_guidance_distillation
always_clear_depth_sota_comparison_methods,proposition,300,0.7869372963905334,14,1,15,29,"adids,defeatnet,dmmde,md4all_ad,md4all_dd,monodepth2,rnw","Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:comparison_scope|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:monodepth2,packnet_sfm,rnw,md4all_ad,md4all_dd,dmmde|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:monodepth2,defeatnet,adids,rnw,wsgd,md4all_dd,dmmde"
