question_id,query_mode,query_used,granularity,budget,parent_rank,selected,selected_order,score,source,page,parent_chunk_id,estimated_tokens,matched_child_count,deduplicated_child_count,max_child_score,top_child_score_sum,top_child_ids,matched_gold_ids,matched_evidence_refs,text
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,1,True,1,1.0293901205062865,data\MonoDiffusion.pdf,9,MonoDiffusion_p9_chunk_27,72,2,2,0.8578909635543823,1.714991569519043,sentence::MonoDiffusion_p9_chunk_27::s0|sentence::MonoDiffusion_p9_chunk_27::s3,,,"for monocular depth estimation. arXiv preprint arXiv:2302.08149, 2023. [12] Xinchen Ye, Xin Fan, Mingliang Zhang, Rui Xu, and Wei Zhong. Un- supervised monocular depth estimation via recursive stereo distillation. IEEE Transactions on Image Processing , 3"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,2,True,2,1.0154582262039185,data\Repurposing Diffusion-Based Image Generators for Monocular Depth Estimation.pdf,1,Repurposing_Diffusion-Based_Image_Generators_for_Monocular_Depth_Estimation_p1_chunk_3,52,2,2,0.8470109701156616,1.6844725608825684,sentence::Repurposing_Diffusion-Based_Image_Generators_for_Monocular_Depth_Estimation_p1_chunk_3::s1|sentence::Repurposing_Diffusion-Based_Image_Generators_for_Monocular_Depth_Estimation_p1_chunk_3::s0,,,"er to unseen datasets, offering state-of-the-art monocular depth estimation results. Abstract Monocular depth estimation is a fundamental computer vision task. Recovering 3D depth from a single image is geometrically ill-posed and requires scene understand"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,3,True,3,1.005880206823349,data\Lite-Mono.pdf,9,Lite-Mono_p9_chunk_14,89,2,2,0.8385518789291382,1.6732832789421082,sentence::Lite-Mono_p9_chunk_14::s2|sentence::Lite-Mono_p9_chunk_14::s0,,,"tow. Unsupervised monocular depth estimation with left- right consistency. In CVPR, 2017. 1, 2 [15] Cl ´ement Godard, Oisin Mac Aodha, Michael Firman, and Gabriel J Brostow. Digging into self-supervised monocular depth estimation. In ICCV, 2019. 1, 2, 3,"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,4,True,4,0.981231951713562,data\ACD.pdf,1,ACD_p1_chunk_0,77,1,1,0.8920290470123291,0.8920290470123291,sentence::ACD_p1_chunk_0::s0,,,"Always Clear Depth: Robust Monocular Depth Estimation Under Adverse Weather Kui Jiang1 , Jing Cao1 , Zhaocheng Yu1 , Junjun Jiang1∗ and Jingchun Zhou2 1Harbin Institute of Technology 2Dalian Maritime University jiangkui@hit.edu.com, {caojing,yuzhaocheng}@s"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,5,True,5,0.9780911207199097,data\ACD.pdf,7,ACD_p7_chunk_23,56,1,1,0.8891737461090088,0.8891737461090088,sentence::ACD_p7_chunk_23::s0,acdepth_framework,,"on In this paper, we propose a novel approach named ACDepth for robust monocular depth estimation under adverse weather conditions. In addition, we introduce an elaborate data gen- eration scheme to produce the multi-tuple depth dataset with diverse degrad"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,6,True,6,0.9624609231948853,data\ACD.pdf,2,ACD_p2_chunk_18,55,1,1,0.8749644756317139,0.8749644756317139,sentence::ACD_p2_chunk_18::s0,"acdepth_framework,multi_granularity_knowledge_distillation",,"p a novel robust monocu- lar depth estimation framework, termed as ACDepth for high-quality depth estimation under adverse weather. • We propose the multi-granularity knowledge distillation strategy (MKD) to achieve the complete transfer and alignment of c"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,7,True,7,0.9619242072105407,data\Robust Monocular Depth Estimation under Challenging Conditions.pdf,1,Robust_Monocular_Depth_Estimation_under_Challenging_Conditions_p1_chunk_0,80,1,1,0.8744765520095825,0.8744765520095825,sentence::Robust_Monocular_Depth_Estimation_under_Challenging_Conditions_p1_chunk_0::s0,,,"Robust Monocular Depth Estimation under Challenging Conditions Stefano Gasperini∗,1,2 Nils Morbitzer∗,1 HyunJun Jung1 Nassir Navab1 Federico Tombari1,3 1 Technical University of Munich 2 VisualAIs 3 Google Abstract While state-of-the-art monocular depth es"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,8,False,,0.9554340481758118,data\ACD.pdf,9,ACD_p9_chunk_3,86,1,1,0.8685764074325562,0.8685764074325562,sentence::ACD_p9_chunk_3::s2,,,"tion at adverse night conditions. In ROBIO, pages 1–7, 2023. [Song and Y oon, 2022] Kyeongseob Song and Kuk-Jin Y oon. Learning monocular depth estimation via selective distillation of stereo knowledge. arXiv, 2022. [Spencer et al., 2020 ] Jaime Spencer, R"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,9,False,,0.9535238742828369,data\Depth_Anything.pdf,1,Depth_Anything_p1_chunk_3,64,1,1,0.8668398857116699,0.8668398857116699,sentence::Depth_Anything_p1_chunk_3::s1,,,"umn), complex scenes (2nd and 5th column), foggy weather (5th column), and ultra-remote distance (5th and 6th column), etc. Abstract This work presents Depth Anything1, a highly practical solution for robust monocular depth estimation. Without pur- suing n"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,10,False,,0.9521744132041932,data\s.pdf,9,s_p9_chunk_29,78,1,1,0.8656131029129028,0.8656131029129028,sentence::s_p9_chunk_29::s1,,,"695, 2022. 2, 4 [22] Kieran Saunders, George V ogiatzis, and Luis J. Manso. Self- supervised monocular depth estimation: Let’s talk about the weather. In Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), pages 8907–8917, 2023."
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,11,False,,0.9519322156906128,data\Single Image Depth Prediction with Wavelet Decomposition.pdf,9,Single_Image_Depth_Prediction_with_Wavelet_Decomposition_p9_chunk_11,83,1,1,0.8653929233551025,0.8653929233551025,sentence::Single_Image_Depth_Prediction_with_Wavelet_Decomposition_p9_chunk_11::s1,,,"4, 2014. [13] Huan Fu, Mingming Gong, Chaohui Wang, Kayhan Bat- manghelich, and Dacheng Tao. Deep ordinal regression net- work for monocular depth estimation. In CVPR, 2018. [14] Ravi Garg, Vijay Kumar BG, and Ian Reid. Unsupervised CNN for single view dep"
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,500,12,False,,0.9519322156906128,data\Robust Monocular Depth Estimation under Challenging Conditions.pdf,9,Robust_Monocular_Depth_Estimation_under_Challenging_Conditions_p9_chunk_8,68,1,1,0.8653929233551025,0.8653929233551025,sentence::Robust_Monocular_Depth_Estimation_under_Challenging_Conditions_p9_chunk_8::s2,,,"in Neural Information Processing Systems, 27, 2014. 2 [6] Huan Fu, Mingming Gong, Chaohui Wang, Kayhan Bat- manghelich, and Dacheng Tao. Deep ordinal regression net- work for monocular depth estimation. In Proceedings of the IEEE Conference on Computer Vi"
