question_id,granularity,variant,query_used,rank,raw_rank,score,source,page,parent_chunk_id,unit_id,matched_gold_ids,matched_evidence_refs,is_gold_alias_hit,is_evidence_page_hit,is_title_junk,text
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,1,1,0.7225103378295898,data\SSRDepth.pdf,5,SSRDepth_p5_chunk_7,SSRDepth_p5_chunk_7,,,False,False,False,"epth value at the corresponding pixel location. Note that the semantic-aware relative depth here diﬀers from conven- tional relative depth, as it only establishes relative depth relationships within the same semantic segments. We provide a detailed descr"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,2,2,0.7191823720932007,data\Repurposing Diffusion-Based Image Generators for Monocular Depth Estimation.pdf,4,Repurposing_Diffusion-Based_Image_Generators_for_Monocular_Depth_Estimation_p4_chunk_30,Repurposing_Diffusion-Based_Image_Generators_for_Monocular_Depth_Estimation_p4_chunk_30,,,False,False,False,"ly dense and complete, meaning that every pixel has a valid ground truth depth value, allowing us to feed such data into the V AE, which can not handle data with invalid pixels. Second, synthetic depth is the cleanest 4"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,3,3,0.7171059846878052,data\ACD.pdf,1,ACD_p1_chunk_0,ACD_p1_chunk_0,,,False,False,False,"Always Clear Depth: Robust Monocular Depth Estimation Under Adverse Weather Kui Jiang1 , Jing Cao1 , Zhaocheng Yu1 , Junjun Jiang1∗ and Jingchun Zhou2 1Harbin Institute of Technology 2Dalian Maritime University jiangkui@hit.edu.com, {caojing,yuzhaocheng}@s"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,4,4,0.7157893180847168,data\Robust Monocular Depth Estimation under Challenging Conditions.pdf,3,Robust_Monocular_Depth_Estimation_under_Challenging_Conditions_p3_chunk_22,Robust_Monocular_Depth_Estimation_under_Challenging_Conditions_p3_chunk_22,,,False,False,False,"t, and rain) without any difference at inference time compared to a common encoder-decoder pipeline [11]. Additionally, ours does not degrade the output quality in standard settings. 3. Method In this paper, we enable a model to estimate depth reli- ably i"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,5,5,0.7104946970939636,data\DepthDark.pdf,6,DepthDark_p6_chunk_10,DepthDark_p6_chunk_10,,,False,False,False,r[1] K 768 × 256 40 0.289 2.893 7.468 0.302 0.543 0.873 0.964 TDDC[40] K 768 × 256 40 0.210 1.515 5.386 0.238 0.676 0.936 0.980 Depth Anything[41] UD & LD - 40 0.302 3.331 6.622 0.314 0.635 0.822 0.918 Depth Anything V2[42] RD & SD - 40 0.235 2.474 6.239 0
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,6,6,0.705933690071106,data\Depth_Anything.pdf,1,Depth_Anything_p1_chunk_0,Depth_Anything_p1_chunk_0,,,False,False,False,"Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data Lihe Yang1 Bingyi Kang2 † Zilong Huang2 Xiaogang Xu3,4 Jiashi Feng2 Hengshuang Zhao1‡ 1HKU 2TikTok 3CUHK 4ZJU † project lead ‡ corresponding author https://depth-anything.github.io Figure 1"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,7,7,0.7041617035865784,data\dav2.pdf,8,dav2_p8_chunk_12,dav2_p8_chunk_12,,,False,False,False,"still far from the precise dense depth required for scene reconstruction. However, DA-2K can be considered a prerequisite for accurate dense depth. As such, we believe DA-2K can serve asa valuable supplement to existing benchmarks due to its extensive scen"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,8,8,0.703609824180603,data\Depth_Anything.pdf,1,Depth_Anything_p1_chunk_3,Depth_Anything_p1_chunk_3,,,False,False,False,"umn), complex scenes (2nd and 5th column), foggy weather (5th column), and ultra-remote distance (5th and 6th column), etc. Abstract This work presents Depth Anything1, a highly practical solution for robust monocular depth estimation. Without pur- suing n"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,9,9,0.7028101682662964,data\Global-Local.pdf,1,Global-Local_p1_chunk_14,Global-Local_p1_chunk_14,,,False,False,False,"d [Chen et al., 2019; Kim et al., 2020], understanding both global and local con- texts is crucial for successful depth estimation. There are many cues in monocular depth estimation that require under- standing the scene on a global scale, such as the loca"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,10,10,0.7024651169776917,data\Monocular Depth Estimation.pdf,3,Monocular_Depth_Estimation_p3_chunk_1,Monocular_Depth_Estimation_p3_chunk_1,,,False,False,False,"min( , ) = ❌ error error Depth decoder Baseline Ours Looking up pixels using the correct depth De pth enc od er De pth dec od er c o l o r d e p t h ⊗ SSIM ⊗ SSIM Upsample Baseline Ours Depth decoder Baseline O"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,11,11,0.7016265392303467,data\dav2.pdf,8,dav2_p8_chunk_11,dav2_p8_chunk_11,,,False,False,False,"Section C for details and comparisons with DIW [11]. Position of DA-2K. Despite the advantages, we do not expect DA-2K to replace current benchmarks. Accurate sparse depth is still far from the precise dense depth required for scene reconstruction. Howeve"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,12,12,0.7008203864097595,data\MonoDiffusion.pdf,1,MonoDiffusion_p1_chunk_28,MonoDiffusion_p1_chunk_28,,,False,False,False,"the negative impact of depth error in pseudo ground-truth, we apply a multi-view check filter [25] to filter out erroneous depth. Furthermore, we develop a masked visual condition mechanism to enhance the denoising ability of MonoDiffusion, inspired by the"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,13,13,0.7005694508552551,data\Single Image Depth Prediction with Wavelet Decomposition.pdf,12,Single_Image_Depth_Prediction_with_Wavelet_Decomposition_p12_chunk_24,Single_Image_Depth_Prediction_with_Wavelet_Decomposition_p12_chunk_24,,,False,False,False,"the last level of the depth decoder in Table 8 is discarded. For experiments using a light-weight decoder discussed later in Section 9.4, which predicts 224 × 224 depth maps given a 224 × 224 input image, we keep all four levels of wavelet decomposition."
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,14,14,0.7004864811897278,data\DepthDark.pdf,6,DepthDark_p6_chunk_5,DepthDark_p6_chunk_5,,,False,False,False,".259 3.147 8.547 0.344 0.641 0.850 0.928 Depth Anything[41] UD & LD - 60 0.302 3.051 9.233 0.321 0.487 0.784 0.972 Depth Anything V2[42] RD & SD - 60 0.272 2.551 8.576 0.304 0.518 0.843 0.971 Ours DepthDark H, VK - 60 0.210 1.910 7.764 0.260 0.630 0.914 0."
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,15,15,0.6979475021362305,data\SSRDepth.pdf,12,SSRDepth_p12_chunk_10,SSRDepth_p12_chunk_10,,,False,False,False,s. Number of bin queries 𝛿1 ↑ AbsRel↓ RMSE↓ log10 ↓ 8 0.781 0.231 2.129 0.078 32 0.779 0.240 2.034 0.076 100 0.786 0.233 1.984 0.078 128 0.799 0.230 1.901 0.073 256 0.790 0.231 2.011 0.075 the semantic-aware relative depth is discont
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,16,16,0.6977337002754211,data\LED.pdf,11,LED_p11_chunk_11,LED_p11_chunk_11,,,False,False,False,"assan, Almehio Yasser, Bursuc Andrei, El-Idrissi Hafid, Moutarde Fabien, et al. Doc-depth: A novel approach for dense depth ground truth generation. InIEEE IV, 2025. [14] Exwayz. Exwayz 3d mapping: Create dense, accurate and georeferenced 3d point cloud us"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,17,17,0.6969906091690063,data\dav2.pdf,8,dav2_p8_chunk_1,dav2_p8_chunk_1,,,False,False,False,0.139 0.867 0.075 0.942 Depth Anything V1 [89] ViT-S 0.080 0.936 0.053 0.972 0.464 0.739 0.127 0.885 0.076 0.939 ViT-B 0.080 0.939 0.046 0.979 0.432 0.756 0.126 0.884 0.069 0.946 ViT-L 0.076 0.947 0.043 0.981 0.458 0.760 0.127 0.882 0.066 0.952 Depth Anyt
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,18,18,0.696509838104248,data\ACD.pdf,2,ACD_p2_chunk_11,ACD_p2_chunk_11,,,False,False,False,"2024; Sauer et al., 2025 ]. However, the translated image shows ob- vious inconsistencies and less authenticity of scene contents, which is unacceptable for training generalizable depth esti- mation models. To address these issues, we propose to optimize"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,19,19,0.6952382922172546,data\ACD.pdf,4,ACD_p4_chunk_0,ACD_p4_chunk_0,,,False,False,False,cf Depth Anything V2 ௖ ௗ ௥ One batch Stable Diffusion Turbo v2.1 Decoder Encoder Decoder TD SD VD ie im SD 0p 1p 0p 1p VD 01 2log 1 0 00 pp eL ­ z° ® °¯ 1 pp 0 01 0 01 01 11 11 1 0 pp pp otherwise W W ­t  °°  ® ° °¯
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,20,20,0.6949710249900818,data\dav2.pdf,29,dav2_p29_chunk_0,dav2_p29_chunk_0,,,False,False,False,"Image Depth Anything V2Depth Anything V1 Figure 18: Qualitative results on widely adopted test benchmarks, e.g., KITTI, NYU, and DIODE. 29"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,21,21,0.6938789486885071,data\Single Image Depth Prediction with Wavelet Decomposition.pdf,12,Single_Image_Depth_Prediction_with_Wavelet_Decomposition_p12_chunk_23,Single_Image_Depth_Prediction_with_Wavelet_Decomposition_p12_chunk_23,,,False,False,False,"baseline is then detailed in Table 8. For experiments re- ported in the main paper, we follow the DenseDepth strat- egy and predict outputs at half the input resolution. Hence, the last level of the depth decoder in Table 8 is discarded. For experiments us"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,22,22,0.693314790725708,data\Jasmine.pdf,12,Jasmine_p12_chunk_16,Jasmine_p12_chunk_16,,,False,False,False,", and Yi Yuan. Hr-depth: High resolution self-supervised monocular depth estimation. InAAAI, pages 2294–2301, 2021. 2, 8 [32] Jingyuan Ma, Xiangyu Lei, Nan Liu, Xian Zhao, and Shiliang Pu. Towards comprehensive representation enhancement in semantics-guide"
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,23,23,0.6931788921356201,data\LED.pdf,6,LED_p6_chunk_2,LED_p6_chunk_2,,,False,False,False,8473.35790.9489 0.9812 0.9908LED5.42590.19960.0188 0.1253 12.490016.12240.9603 0.9846 0.9927 AdabinsHB 7.3520 0.1360 0.0320 0.1230 10.1880 4.2770 0.8790 0.9440 0.9740LED5.5830 0.0690 0.0240 0.0920 7.7290 2.5090 0.9210 0.9680 0.9840 DepthF ormerHB 5.85280.0
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,24,24,0.6918752193450928,data\dav2.pdf,24,dav2_p24_chunk_0,dav2_p24_chunk_0,,,False,False,False,Image Depth Anything V1 Depth Anything V2 Figure 13: Comparison between Depth Anything V1 [89] and our V2 in open-world images. 24
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,25,25,0.6917365193367004,data\Robust Monocular Depth Estimation under Challenging Conditions.pdf,8,Robust_Monocular_Depth_Estimation_under_Challenging_Conditions_p8_chunk_17,Robust_Monocular_Depth_Estimation_under_Challenging_Conditions_p8_chunk_17,,,False,False,False,"snow and fog, and sample translations. 5. Conclusion We presented the simple and effective md4all, enabling a single monocular model to estimate depth robustly in both standard and challenging conditions (e.g., night, rain). We showed md4all delivering sig"
