run_id,run_label,question_id,granularity,strategy,budget,top_k,context_tokens,retrieved_chunk_count,selected_chunk_count,answer_precision,answer_recall,answer_f1,retrieved_gold_recall,selected_gold_recall,retrieved_relevance_precision,selected_relevance_precision,token_efficiency,matched_gold_ids,retrieved_gold_ids,selected_gold_ids,details_path
qa_v1_chunk_always_clear_depth_ablation_componen_ask_baseline_none_65c79a93ec27,qa_v1_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,1000,50,987,50,15,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,distillation_learning,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_ablation_componen_ask_baseline_none_65c79a93ec27.json
qa_v1_chunk_always_clear_depth_ablation_componen_ask_baseline_none_c59c85690410,qa_v1_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,500,50,493,50,8,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,distillation_learning,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_ablation_componen_ask_baseline_none_c59c85690410.json
qa_v1_chunk_always_clear_depth_ablation_componen_ask_baseline_none_dab80d5e23f7,qa_v1_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,1500,50,1495,50,23,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.02,0.043478260869565216,0.0,,distillation_learning,distillation_learning,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_ablation_componen_ask_baseline_none_dab80d5e23f7.json
qa_v1_chunk_always_clear_depth_contributions_ask_baseline_none_155ad340077e,qa_v1_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,500,50,474,50,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_contributions_ask_baseline_none_155ad340077e.json
qa_v1_chunk_always_clear_depth_contributions_ask_baseline_none_ba585dbd76bb,qa_v1_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,1000,50,975,50,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_contributions_ask_baseline_none_ba585dbd76bb.json
qa_v1_chunk_always_clear_depth_contributions_ask_baseline_none_e819af73b35c,qa_v1_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,1500,50,1495,50,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_contributions_ask_baseline_none_e819af73b35c.json
qa_v1_chunk_always_clear_depth_eval_datasets_ask_baseline_none_3b1fea61cfe3,qa_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,500,50,493,50,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_eval_datasets_ask_baseline_none_3b1fea61cfe3.json
qa_v1_chunk_always_clear_depth_eval_datasets_ask_baseline_none_aa58a96f4b24,qa_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,1000,50,977,50,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_eval_datasets_ask_baseline_none_aa58a96f4b24.json
qa_v1_chunk_always_clear_depth_eval_datasets_ask_baseline_none_af33fa958919,qa_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,1500,50,1493,50,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_eval_datasets_ask_baseline_none_af33fa958919.json
qa_v1_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_017909b867f3,qa_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,1000,50,974,50,15,0.0,0.0,0.0,0.4444444444444444,0.0,0.06,0.0,0.0,,"adids,md4all_dd,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_017909b867f3.json
qa_v1_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_98119ec0abae,qa_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,1500,50,1485,50,22,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.06,0.045454545454545456,0.0,,"adids,md4all_dd,rnw,wsgd",md4all_dd,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_98119ec0abae.json
